State,Y2020,Y2019,% change
Alabama,11.39,11.19,1.8
Alaska,21.93,22.94,-4.4
Arizona,12.18,11.61,4.9
Arkansas,9.87,9.2,7.3
California,20.45,19.15,6.8
Colorado,12.14,11.52,5.4
Connecticut,20.39,20.3,0.4
Delaware,12.51,12.16,2.9
Florida,11.86,11.62,2.1
Georgia,10.8,9.54,13.2
Hawaii,29.14,30.99,-6
Idaho,9.92,9.79,1.3
Illinois,12.32,12.79,-3.7
Indiana,12.69,12.1,4.9
Iowa,11.31,11.13,1.6
Kansas,12.22,12.04,1.5
Kentucky,10.53,10.85,-2.9
Louisiana,9.54,9.14,4.4
Maine,16.51,17.95,-8
Maryland,12.73,12.85,-0.9
Massachusetts,21.54,22.39,-3.8
Michigan,16.47,15.69,5
Minnesota,12.87,12.24,5.1
Mississippi,11.25,11.27,-0.2
Missouri,9.3,9.85,-5.6
Montana,11.02,11.03,-0.1
Nebraska,10.13,9.91,2.2
Nevada,11.2,11.99,-6.6
New Hampshire,18.74,19.71,-4.9
New Jersey,15.99,15.22,5.1
New Mexico,12.27,11.99,2.3
New York,18.23,17.33,5.2
North Carolina,10.6,10.88,-2.6
North Dakota,9.39,9.18,2.3
Ohio,11.8,11.8,0
Oklahoma,8.88,9.11,-2.5
Oregon,10.89,10.81,0.7
Pennsylvania,13.15,13.98,-5.9
Rhode Island,22.59,21.82,3.5
South Carolina,11.78,13.9,-15.3
South Dakota,11.39,11.01,3.5
Tennessee,10.41,10.82,-3.8
Texas,11.87,11.71,1.4
Utah,10.19,10.07,1.2
Vermont,19.04,19.23,-1
Virginia,11.21,11.73,-4.4
Washington,9.77,9.57,2.1
West Virginia,11.41,10.55,8.2
Wisconsin,14.52,13.72,5.8
Wyoming,10.66,10.76,-0.9
United States,12.8,12.68,0.9
